Programa,Indicador,Ciclo,Valor
MAESTRIA EN ADMINISTRACIÓN DE NEGOCIOS Y TRANSFORMACIÓN DIGITAL (MBA),Abandono,Ciclo 1-2024,0
MAESTRIA EN DERECHO CORPORATIVO,Abandono,Ciclo 1-2024,9
MAESTRIA EN DERECHO DE LA NIÑEZ MUJERES Y FAMILIA,Abandono,Ciclo 1-2024,10
MAESTRIA EN DIRECCION ESTRATEGICA DEL TALENTO HUMANO,Abandono,Ciclo 1-2024,7
MAESTRIA EN GESTIÓN E INNOVACIÓN DE NEGOCIOS INTERNACIONALES,Abandono,Ciclo 1-2024,2
MAESTRIA EN METODOLOGIA DE LA INVESTIGACION CIENTIFICA,Abandono,Ciclo 1-2024,2
MAESTRIA EN SALUD PUBLICA,Abandono,Ciclo 1-2024,9
MAESTRÍA EN EPIDEMIOLOGÍA,Abandono,Ciclo 1-2024,1
MAESTRIA EN ADMINISTRACIÓN DE NEGOCIOS Y TRANSFORMACIÓN DIGITAL (MBA),Deserción,Ciclo 1-2024,0
MAESTRIA EN DERECHO CORPORATIVO,Deserción,Ciclo 1-2024,0
MAESTRIA EN DERECHO DE LA NIÑEZ MUJERES Y FAMILIA,Deserción,Ciclo 1-2024,2
MAESTRIA EN DIRECCION ESTRATEGICA DEL TALENTO HUMANO,Deserción,Ciclo 1-2024,2
MAESTRIA EN GESTIÓN E INNOVACIÓN DE NEGOCIOS INTERNACIONALES,Deserción,Ciclo 1-2024,8
MAESTRIA EN METODOLOGIA DE LA INVESTIGACION CIENTIFICA,Deserción,Ciclo 1-2024,7
MAESTRIA EN SALUD PUBLICA,Deserción,Ciclo 1-2024,2
MAESTRIA EN ADMINISTRACIÓN DE NEGOCIOS Y TRANSFORMACIÓN DIGITAL (MBA),Matrícula Nivel 1,Ciclo 1-2024,0
MAESTRIA EN DERECHO CORPORATIVO,Matrícula Nivel 1,Ciclo 1-2024,37
MAESTRIA EN DERECHO DE LA NIÑEZ MUJERES Y FAMILIA,Matrícula Nivel 1,Ciclo 1-2024,20
MAESTRIA EN DIRECCION ESTRATEGICA DEL TALENTO HUMANO,Matrícula Nivel 1,Ciclo 1-2024,19
MAESTRIA EN GESTIÓN E INNOVACIÓN DE NEGOCIOS INTERNACIONALES,Matrícula Nivel 1,Ciclo 1-2024,0
MAESTRIA EN METODOLOGIA DE LA INVESTIGACION CIENTIFICA,Matrícula Nivel 1,Ciclo 1-2024,0
MAESTRIA EN SALUD PUBLICA,Matrícula Nivel 1,Ciclo 1-2024,28
MAESTRÍA EN EPIDEMIOLOGÍA,Matrícula Nivel 1,Ciclo 1-2024,0
POSGRADO EN CIENCIAS DE LA SALUD (PHD),Matrícula Nivel 1,Ciclo 1-2024,0
MAESTRIA EN ADMINISTRACIÓN DE NEGOCIOS Y TRANSFORMACIÓN DIGITAL (MBA),Abandono,Ciclo 2-2024,0
MAESTRIA EN DERECHO CORPORATIVO,Abandono,Ciclo 2-2024,4
MAESTRIA EN DERECHO DE LA NIÑEZ MUJERES Y FAMILIA,Abandono,Ciclo 2-2024,4
MAESTRIA EN DIRECCION ESTRATEGICA DEL TALENTO HUMANO,Abandono,Ciclo 2-2024,11
MAESTRIA EN GESTIÓN E INNOVACIÓN DE NEGOCIOS INTERNACIONALES,Abandono,Ciclo 2-2024,5
MAESTRIA EN METODOLOGIA DE LA INVESTIGACION CIENTIFICA,Abandono,Ciclo 2-2024,6
MAESTRIA EN SALUD PUBLICA,Abandono,Ciclo 2-2024,10
MAESTRÍA EN EPIDEMIOLOGÍA,Abandono,Ciclo 2-2024,0
MAESTRIA EN ADMINISTRACIÓN DE NEGOCIOS Y TRANSFORMACIÓN DIGITAL (MBA),Deserción,Ciclo 2-2024,0
MAESTRIA EN DERECHO CORPORATIVO,Deserción,Ciclo 2-2024,0
MAESTRIA EN DERECHO DE LA NIÑEZ MUJERES Y FAMILIA,Deserción,Ciclo 2-2024,3
MAESTRIA EN DIRECCION ESTRATEGICA DEL TALENTO HUMANO,Deserción,Ciclo 2-2024,1
MAESTRIA EN GESTIÓN E INNOVACIÓN DE NEGOCIOS INTERNACIONALES,Deserción,Ciclo 2-2024,3
MAESTRIA EN METODOLOGIA DE LA INVESTIGACION CIENTIFICA,Deserción,Ciclo 2-2024,1
MAESTRIA EN SALUD PUBLICA,Deserción,Ciclo 2-2024,4
MAESTRIA EN ADMINISTRACIÓN DE NEGOCIOS Y TRANSFORMACIÓN DIGITAL (MBA),Matrícula Nivel 1,Ciclo 2-2024,0
MAESTRIA EN DERECHO CORPORATIVO,Matrícula Nivel 1,Ciclo 2-2024,14
MAESTRIA EN DERECHO DE LA NIÑEZ MUJERES Y FAMILIA,Matrícula Nivel 1,Ciclo 2-2024,0
MAESTRIA EN DIRECCION ESTRATEGICA DEL TALENTO HUMANO,Matrícula Nivel 1,Ciclo 2-2024,17
MAESTRIA EN GESTIÓN E INNOVACIÓN DE NEGOCIOS INTERNACIONALES,Matrícula Nivel 1,Ciclo 2-2024,12
MAESTRIA EN METODOLOGIA DE LA INVESTIGACION CIENTIFICA,Matrícula Nivel 1,Ciclo 2-2024,26
MAESTRIA EN SALUD PUBLICA,Matrícula Nivel 1,Ciclo 2-2024,26
MAESTRÍA EN EPIDEMIOLOGÍA,Matrícula Nivel 1,Ciclo 2-2024,0
POSGRADO EN CIENCIAS DE LA SALUD (PHD),Matrícula Nivel 1,Ciclo 2-2024,0
MAESTRIA EN ADMINISTRACIÓN DE NEGOCIOS Y TRANSFORMACIÓN DIGITAL (MBA),Abandono,Ciclo 1-2025,3
MAESTRIA EN DERECHO CORPORATIVO,Abandono,Ciclo 1-2025,5
MAESTRIA EN DERECHO DE LA NIÑEZ MUJERES Y FAMILIA,Abandono,Ciclo 1-2025,7
MAESTRIA EN DIRECCION ESTRATEGICA DEL TALENTO HUMANO,Abandono,Ciclo 1-2025,7
MAESTRIA EN GESTIÓN E INNOVACIÓN DE NEGOCIOS INTERNACIONALES,Abandono,Ciclo 1-2025,1
MAESTRIA EN METODOLOGIA DE LA INVESTIGACION CIENTIFICA,Abandono,Ciclo 1-2025,2
MAESTRIA EN SALUD PUBLICA,Abandono,Ciclo 1-2025,5
MAESTRÍA EN EPIDEMIOLOGÍA,Abandono,Ciclo 1-2025,0
